_id,Model year,Make,Model,Vehicle class,Engine size (L),Cylinders,Transmission,Fuel type,City (L/100 km),Highway (L/100 km),Combined (L/100 km),Combined (mpg),CO2 emissions (g/km),CO2 rating,Smog rating
1,2024,Acura,Integra A-SPEC,Full-size,1.5,4,AV7,Z,8.1,6.5,7.4,38,172,6,7
2,2024,Acura,Integra A-SPEC,Full-size,1.5,4,M6,Z,8.9,6.5,7.8,36,181,6,6
3,2024,Acura,Integra Type S,Full-size,2.0,4,M6,Z,11.1,8.3,9.9,29,230,5,6
4,2024,Acura,MDX SH-AWD,Sport utility vehicle: Small,3.5,6,AS10,Z,12.6,9.4,11.2,25,263,4,5
5,2024,Acura,MDX SH-AWD Type S,Sport utility vehicle: Standard,3.0,6,AS10,Z,13.8,11.2,12.4,23,291,4,5
6,2024,Acura,RDX SH-AWD,Sport utility vehicle: Small,2.0,4,AS10,Z,11.0,8.6,9.9,29,232,5,6
7,2024,Acura,RDX SH-AWD A-SPEC,Sport utility vehicle: Small,2.0,4,AS10,Z,11.3,9.1,10.3,27,241,5,6
8,2024,Alfa Romeo,Giulia,Mid-size,2.0,4,A8,Z,10.0,7.2,8.7,32,205,5,5
9,2024,Alfa Romeo,Giulia AWD,Mid-size,2.0,4,A8,Z,10.5,7.7,9.2,31,217,5,5
10,2024,Alfa Romeo,Giulia Quadrifoglio,Mid-size,2.9,6,A8,Z,13.5,9.3,11.6,24,271,4,3
11,2024,Alfa Romeo,Stelvio,Sport utility vehicle: Small,2.0,4,A8,Z,10.3,8.1,9.3,30,218,5,5
12,2024,Alfa Romeo,Stelvio AWD,Sport utility vehicle: Small,2.0,4,A8,Z,10.8,8.3,9.6,29,226,5,5
13,2024,Alfa Romeo,Stelvio AWD Quadrifoglio,Sport utility vehicle: Small,2.9,6,A8,Z,13.9,10.3,12.3,23,288,4,3
14,2024,Alfa Romeo,Tonale AWD,Sport utility vehicle: Small,2.0,4,A9,X,11.2,8.2,9.8,29,231,5,7
15,2024,Aston Martin,DB12,Minicompact,4.0,8,A8,Z,15.9,10.5,13.5,21,316,3,5
16,2024,Aston Martin,DBS V12,Minicompact,5.2,12,A8,Z,16.4,10.7,13.8,20,324,3,3
17,2024,Aston Martin,DBX V8,Sport utility vehicle: Standard,4.0,8,A9,Z,16.8,11.9,14.6,19,343,3,5
18,2024,Aston Martin,DBX707,Sport utility vehicle: Standard,4.0,8,A9,Z,15.7,12.0,14.0,20,329,3,5
19,2024,Aston Martin,Valour,Two-seater,5.2,12,M6,Z,18.9,13.1,16.3,17,383,2,3
20,2024,Audi,A3 40 TFSI quattro,Subcompact,2.0,4,AM7,X,9.2,6.9,8.1,35,191,6,7
